Product_ID,Brand_Name,Product_Name,Category,Sub_Category,Shade/Variant,Price_INR,Launch_Year,Average_Rating,Total_Units_Sold,Total_Revenue_INR,Num_Customers,Avg_Customer_Age,Female_%,Top_City,Top_Campaign,Campaign_Start,Campaign_End,Campaign_Channel,Campaign_Spend_INR,Campaign_Discount_%,Conversion_Rate_%,Brand_Popularity_Score
P0001,Nykaa Cosmetics,Nykaa Cosmetics Highlighter Shine Air,Face,Highlighter,Scarlet 19,1199,2021,4.08,1692,2028708,574,25,88.2,Mumbai,Influencer Push,04-10-2023,11-10-2023,E-commerce,2885011,10,1.81,71.8
P0002,Nykaa Cosmetics,Nykaa Cosmetics Highlighter Matte Luxe,Face,Highlighter,Champagne 3,499,2022,4.38,1548,772452,455,24,80.5,Hyderabad,Influencer Push,23-05-2024,13-06-2024,Marketplace,1450103,20,2.61,78.27
P0003,Mamaearth,Mamaearth Lip Liner Artist Air,Lips,Lip Liner,Coral 12,249,2021,4.34,2018,502482,793,29,88.8,Ahmedabad,Bogo Offer,04-12-2023,18-01-2024,Retail (Nykaa),5216131,15,2.32,76.59
P0004,Kay Beauty,Kay Beauty Foundation Matte HD,Face,Foundation,Nude 17,799,2023,4.17,1543,1232857,696,20,61.9,Bengaluru,Bogo Offer,09-04-2023,09-05-2023,Retail (Nykaa),4625236,10,1.24,79.29
P0005,Mamaearth,Mamaearth Contour Prime HD,Face,Contour,Champagne 15,1999,2019,3.95,1905,3808095,725,26,80.9,Mumbai,Bogo Offer,24-06-2024,24-07-2024,Marketplace,3398573,20,3.5,68.75
P0006,Forest Essentials,Forest Essentials Blush Matte Luxe,Face,Blush,Berry 11,699,2024,4.52,1404,981396,935,21,64.9,Chennai,Seasonal Drop,14-11-2024,05-12-2024,E-commerce,2694915,20,3.28,77.98
P0007,Kay Beauty,Kay Beauty Lip Liner Artist +,Lips,Lip Liner,Nude 17,499,2020,4.33,2145,1070355,1042,25,87.2,Delhi,Festive Sale,12-12-2025,11-01-2026,E-commerce,3090093,15,1.26,75.14
P0008,Mamaearth,Mamaearth Lip Liner Prime HD,Lips,Lip Liner,Rose 9,599,2023,4.13,1906,1141694,982,32,70.5,Mumbai,Launch Promo,17-07-2025,31-07-2025,Social Commerce,3547316,20,1.57,77.67
P0009,Mamaearth,Mamaearth Eyeliner Prime X,Eyes,Eyeliner,Berry 17,249,2025,4.32,1553,386697,754,30,81,Ahmedabad,Influencer Push,01-06-2023,08-06-2023,Retail (Nykaa),512285,0,5.58,79.14
P0010,Forest Essentials,Forest Essentials Lip Gloss Prime HD,Lips,Lip Gloss,Champagne 4,199,2018,4.12,2340,465660,1047,32,69.2,Chennai,Nykaa Exclusive,14-04-2024,29-05-2024,Retail (Nykaa),5175467,10,2.15,79.02
P0011,Kay Beauty,Kay Beauty Kajal Shine Luxe,Eyes,Kajal,Nude 4,299,2023,3.85,1740,520260,510,26,69.9,Chennai,Nykaa Exclusive,30-11-2024,07-12-2024,E-commerce,1661832,0,1.21,64.5
P0012,Lakmé,Lakmé Compact Glow +,Face,Compact,Spice 2,999,2024,4.23,1457,1455543,501,21,84.3,Jaipur,Launch Promo,12-02-2024,28-03-2024,E-commerce,127913,15,1.68,73.95
P0013,Mamaearth,Mamaearth Blush Glow Luxe,Face,Blush,Coral 2,2999,2018,4.18,1851,5551149,608,33,66.5,Kolkata,Influencer Push,12-02-2025,29-03-2025,E-commerce,2411822,20,1.34,72.61
P0014,Lakmé,Lakmé Lip Balm Prime Air,Lips,Lip Balm,Scarlet 9,1299,2021,3.8,1989,2583711,994,36,79.8,Delhi,Bogo Offer,04-12-2024,18-01-2025,Retail (Nykaa),2328523,5,1.33,72.21
P0015,Forest Essentials,Forest Essentials Lip Balm Artist Luxe,Lips,Lip Balm,Peach 15,2999,2020,4.16,2138,6411862,1339,33,88.5,Ahmedabad,Influencer Push,31-01-2025,21-02-2025,Retail (Nykaa),4726480,20,1.42,77.15
P0016,Kay Beauty,Kay Beauty Highlighter Matte Luxe,Face,Highlighter,Coral 3,199,2021,4.15,1679,334121,738,29,62.1,Bengaluru,Festive Sale,27-08-2025,10-09-2025,E-commerce,1487595,10,3.74,74.01
P0017,Lakmé,Lakmé Brow Pencil Matte X,Eyes,Brow Pencil,Peach 4,999,2021,4.77,1893,1891107,946,36,77.4,Ahmedabad,Bogo Offer,06-10-2023,13-10-2023,E-commerce,2106941,15,4.97,80.8
P0018,Sugar Cosmetics,Sugar Cosmetics Lip Liner Shine X,Lips,Lip Liner,Nude 12,849,2020,4.09,2156,1830444,899,22,80.2,Pune,Launch Promo,28-11-2025,12-01-2026,Marketplace,5361197,30,0.86,71.88
P0019,Sugar Cosmetics,Sugar Cosmetics Highlighter Glow +,Face,Highlighter,Champagne 10,1299,2024,4.24,1399,1817301,426,33,64.4,Chennai,Seasonal Drop,05-12-2023,19-01-2024,E-commerce,4164372,30,5.57,74.84
P0020,Sugar Cosmetics,Sugar Cosmetics Highlighter Prime +,Face,Highlighter,Nude 7,299,2020,4.64,1741,520559,583,31,82.3,Pune,Influencer Push,09-07-2023,16-07-2023,E-commerce,1649988,25,2.63,84.91
P0021,Mamaearth,Mamaearth Contour Shine Air,Face,Contour,Peach 16,1199,2024,4.51,1364,1635436,705,22,68.8,Lucknow,Seasonal Drop,17-10-2024,24-10-2024,Marketplace,4893594,0,3.45,79.9
P0022,Lakmé,Lakmé Lip Gloss Prime Luxe,Lips,Lip Gloss,Coral 5,849,2020,4.12,2137,1814313,1037,36,68.1,Mumbai,Nykaa Exclusive,25-01-2024,08-02-2024,E-commerce,3242466,30,1.01,71.47
P0023,Mamaearth,Mamaearth Contour Shine X,Face,Contour,Spice 1,1999,2019,3.87,1888,3774112,810,34,68.2,Mumbai,Seasonal Drop,20-04-2024,27-04-2024,Retail (Nykaa),4227510,30,2.19,74.7
P0024,Sugar Cosmetics,Sugar Cosmetics Lipstick Artist X,Lips,Lipstick,Nude 13,1499,2020,4.5,2218,3324782,1391,10,84.9,Bengaluru,Launch Promo,13-12-2025,12-01-2026,Retail (Nykaa),4835162,10,1.8,80.93
P0025,Forest Essentials,Forest Essentials Mascara Glow HD,Eyes,Mascara,Scarlet 6,249,2021,3.87,1851,460899,842,35,75.4,Jaipur,Influencer Push,25-06-2024,09-07-2024,Social Commerce,5132863,0,3.2,66.78
P0026,Forest Essentials,Forest Essentials Contour Prime Air,Face,Contour,Nude 15,2499,2019,4.29,1776,4438224,952,31,74.2,Pune,Festive Sale,02-03-2023,16-03-2023,E-commerce,4621987,5,2.58,77.23
